player_id,firstname,lastname,position,height,weight,byear,rookie
609790,Michael,Carter-Williams,Point Guard,78,185,1991,2013
502908,Lorenzo,Brown,Point Guard,77,186,1990,2013
508952,Brandon,Davies,Power Forward,81,235,1991,2013
606642,Dewayne,Dedmon,Center,84,255,1989,2013
214163,Leandro,Barbosa,Guard,75,194,1982,2003
65903,Emeka,Okafor,Center,83,260,1982,2004
65871,Channing,Frye,Forward-Center,83,263,1983,2005
292391,Gerald,Green,Guard-Forward,80,199,1986,2005
229602,P.J.,Tucker,Guard-Forward,78,235,1985,2006
456456,Goran,Dragic,Guard,75,187,1986,2008
297774,Dionte,Christmas,Guard,77,212,1986,2013
509449,Eric,Bledsoe,Guard,73,199,1989,2010
329873,Ish,Smith,Point Guard,72,175,1988,2010
469085,Markieff,Morris,Forward-Center,82,245,1989,2011
469089,Marcus,Morris,Power Forward,81,228,1989,2011
467271,Miles,Plumlee,Forward-Center,83,255,1988,2012
683060,Viacheslav,Kravtsov,Center,83,243,1987,2012
616982,Alex,Len,Center,85,255,1993,2013
699948,Archie,Goodwin,Shooting Guard,77,186,1994,2013
3530,Earl,Watson,Point Guard,73,200,1979,2001
65834,Mo,Williams,Guard,73,195,1982,2003
253998,Dorell,Wright,Guard-Forward,81,205,1985,2004
266554,LaMarcus,Aldridge,Forward-Center,83,250,1985,2006
329190,Joel,Freeland,Forward-Center,83,248,1987,2012
330050,Robin,Lopez,Center,84,265,1988,2008
456451,Nicolas,Batum,Guard-Forward,80,220,1988,2008
503773,Victor,Claver,Guard-Forward,82,235,1988,2012
295809,Wesley,Matthews,Guard-Forward,77,214,1986,2009
513057,Thomas,Robinson,Power Forward,82,237,1991,2012
463121,Damian,Lillard,Point Guard,75,195,1990,2012
550131,Meyers,Leonard,Forward-Center,85,255,1992,2012
551760,Will,Barton,Shooting Guard,78,185,1991,2012
522878,C.J.,McCollum,Guard,75,197,1991,2013
548610,Allen,Crabbe,Shooting Guard,78,197,1992,2013
214159,Travis,Outlaw,Forward,81,207,1984,2003
266358,Rudy,Gay,Forward,80,230,1986,2006
263028,Carl,Landry,Forward,81,248,1983,2007
229898,Aaron,Gray,Center,84,270,1984,2007
278317,Jason,Thompson,Forward-Center,83,250,1986,2008
398590,Marcus,Thornton,Shooting Guard,76,205,1987,2009
509450,DeMarcus,Cousins,Forward-Center,83,270,1990,2010
329875,Hamady,Ndiaye,Center,84,235,1987,2010
509168,Derrick,Williams,Forward,80,240,1991,2011
400661,Jimmer,Fredette,Guard,74,195,1989,2011
457605,Isaiah,Thomas,Point Guard,69,185,1989,2011
469234,Quincy,Acy,Power Forward,79,233,1990,2012
604898,Ben,McLemore,Shooting Guard,77,195,1993,2013
567408,Ray,McCallum,Point Guard,75,190,1991,2013
3155,Tim,Duncan,Forward-Center,83,255,1976,1997
3361,Manu,Ginobili,Guard-Forward,78,205,1977,2002
3508,Tony,Parker,Point Guard,74,180,1982,2001
214157,Boris,Diaw,Forward-Center,80,235,1982,2003
57782,Matt,Bonner,Power Forward,82,235,1980,2004
393434,Marco,Belinelli,Guard-Forward,77,195,1986,2007
393436,Tiago,Splitter,Center,83,245,1985,2010
295420,Jeff,Ayres,Forward-Center,81,250,1987,2009
295922,Danny,Green,Guard-Forward,78,210,1987,2009
503810,Nando,De Colo,Guard,77,190,1987,2012
411562,Patrick,Mills,Point Guard,72,185,1988,2009
301795,Othyus,Jeffers,Guard-Forward,77,210,1985,2009
512591,Kawhi,Leonard,Guard-Forward,79,230,1991,2011
552805,Cory,Joseph,Point Guard,75,190,1991,2011
296379,Aron,Baynes,Center,82,260,1986,2012
168032,John,Salmons,Guard-Forward,78,207,1979,2002
292407,Amir,Johnson,Forward-Center,81,237,1987,2005
65844,Chuck,Hayes,Forward-Center,78,250,1983,2005
266394,Kyle,Lowry,Point Guard,72,205,1986,2006
172571,Steve,Novak,Forward,82,235,1983,2006
457594,DeMar,DeRozan,Guard-Forward,79,217,1989,2009
295923,Tyler,Hansbrough,Forward-Center,81,250,1985,2009
400612,Austin,Daye,Forward,83,200,1988,2009
399599,Patrick,Patterson,Forward-Center,81,235,1989,2010
332666,Greivis,Vasquez,Guard,78,211,1987,2010
330046,Landry,Fields,Guard-Forward,79,214,1988,2010
599780,Jonas,Valanciunas,Center,84,257,1992,2012
504885,Dwight,Buycks,Point Guard,75,190,1989,2013
399800,Julyan,Stone,Guard-Forward,78,196,1988,2011
550049,Terrence,Ross,Guard-Forward,79,197,1991,2012
3504,Richard,Jefferson,Small Forward,79,234,1980,2001
3509,Jamaal,Tinsley,Point Guard,75,188,1978,2001
253989,Andris,Biedrins,Center,84,250,1986,2004
263884,Marvin,Williams,Forward,81,237,1986,2005
65759,John,Lucas III,Point Guard,71,166,1982,2005
65940,Mike,Harris,Small Forward,78,240,1983,2007
303807,Brandon,Rush,Shooting Guard,78,233,1985,2008
502808,Derrick,Favors,Forward-Center,82,268,1991,2010
477667,Gordon,Hayward,Guard-Forward,80,220,1990,2010
340764,Jeremy,Evans,Forward,81,197,1987,2010
512995,Alec,Burks,Guard,78,211,1991,2011
553574,Enes,Kanter,Center,83,247,1992,2011
411458,Malcolm,Thomas,Forward,81,215,1988,2011
399738,Diante,Garrett,Guard,76,190,1988,2012
605708,Trey,Burke,Point Guard,73,190,1992,2013
739960,Rudy,Gobert,Center,85,239,1992,2013
504523,Ian,Clark,Guard,75,173,1991,2013
3250,Al,Harrington,Forward-Center,81,260,1980,1998
168013,Nene,Hilario,Forward-Center,83,267,1982,2002
229738,Trevor,Ariza,Guard-Forward,80,210,1985,2004
292385,Martell,Webster,Guard-Forward,79,235,1986,2005
292408,Marcin,Gortat,Center,83,240,1984,2007
300788,Eric,Maynor,Point Guard,75,178,1987,2009
263903,Garrett,Temple,Guard,78,191,1986,2009
509456,John,Wall,Point Guard,76,212,1990,2010
550427,Kevin,Seraphin,Forward-Center,81,280,1989,2010
330453,Trevor,Booker,Power Forward,80,240,1987,2010
599786,Jan,Vesely,Power Forward,83,240,1990,2011
457185,Chris,Singleton,Small Forward,81,235,1989,2011
606912,Bradley,Beal,Shooting Guard,76,212,1993,2012
609256,Otto,Porter Jr.,Small Forward,80,200,1993,2013
502812,Glen,Rice Jr.,Guard-Forward,78,215,1991,2013
520388,Mike,Muscala,Center,83,240,1991,2013
552302,Jarell,Eddie,Shooting Guard,79,220,1991,2014
458940,Chris,Babb,Shooting Guard,77,225,1990,2013
697132,Marcus,Smart,Point Guard,76,220,1994,2014
786406,James,Young,Shooting Guard,78,215,1995,2014
518947,Andre,Dawkins,Shooting Guard,76,206,1991,2014
329511,Jerome,Jordan,Center,84,253,1986,2011
599812,Bojan,Bogdanovic,Guard-Forward,80,216,1989,2014
553184,Markel,Brown,Shooting Guard,75,190,1992,2014
511659,Cory,Jefferson,Power Forward,81,218,1990,2014
513526,Troy,Daniels,Point Guard,76,200,1991,2013
786397,Noah,Vonleh,Power Forward,82,240,1995,2014
609567,P.J.,Hairston,Guard-Forward,78,220,1992,2014
599809,Nikola,Mirotic,Forward,82,220,1991,2014
